trapId,week,province,avg(temperature),avg(humidity),name,region,closeToWater,vegetation,bugs
20,40,RA,18.265873136974516,78.0114277430943,RA20,Emilia-Romagna,No,91,44
19,40,RA,18.265873136974516,78.0114277430943,RA19,Emilia-Romagna,No,69,34
18,40,RA,18.265873136974516,78.0114277430943,RA18,Emilia-Romagna,No,50,34
17,40,RA,18.265873136974516,78.0114277430943,RA17,Emilia-Romagna,No,30,29
16,40,RA,18.265873136974516,78.0114277430943,RA16,Emilia-Romagna,No,11,26
15,40,RA,18.265873136974516,78.0114277430943,RA15,Emilia-Romagna,Yes,88,40
14,40,RA,18.265873136974516,78.0114277430943,RA14,Emilia-Romagna,Yes,68,40
13,40,RA,18.265873136974516,78.0114277430943,RA13,Emilia-Romagna,Yes,47,31
12,40,RA,18.265873136974516,78.0114277430943,RA12,Emilia-Romagna,Yes,27,31
11,40,RA,18.265873136974516,78.0114277430943,RA11,Emilia-Romagna,Yes,10,25
20,32,RA,27.02222188313802,53.917143140520366,RA20,Emilia-Romagna,No,91,15
19,32,RA,27.02222188313802,53.917143140520366,RA19,Emilia-Romagna,No,69,16
18,32,RA,27.02222188313802,53.917143140520366,RA18,Emilia-Romagna,No,50,13
17,32,RA,27.02222188313802,53.917143140520366,RA17,Emilia-Romagna,No,30,12
16,32,RA,27.02222188313802,53.917143140520366,RA16,Emilia-Romagna,No,11,10
15,32,RA,27.02222188313802,53.917143140520366,RA15,Emilia-Romagna,Yes,88,17
14,32,RA,27.02222188313802,53.917143140520366,RA14,Emilia-Romagna,Yes,68,14
13,32,RA,27.02222188313802,53.917143140520366,RA13,Emilia-Romagna,Yes,47,13
12,32,RA,27.02222188313802,53.917143140520366,RA12,Emilia-Romagna,Yes,27,12
11,32,RA,27.02222188313802,53.917143140520366,RA11,Emilia-Romagna,Yes,10,10
40,29,MI,24.992856827993243,62.307142530168804,MI40,Lombardia,No,95,9
39,29,MI,24.992856827993243,62.307142530168804,MI39,Lombardia,No,66,8
38,29,MI,24.992856827993243,62.307142530168804,MI38,Lombardia,No,49,7
37,29,MI,24.992856827993243,62.307142530168804,MI37,Lombardia,No,29,6
36,29,MI,24.992856827993243,62.307142530168804,MI36,Lombardia,No,8,5
35,29,MI,24.992856827993243,62.307142530168804,MI35,Lombardia,Yes,88,8
34,29,MI,24.992856827993243,62.307142530168804,MI34,Lombardia,Yes,70,7
33,29,MI,24.992856827993243,62.307142530168804,MI33,Lombardia,Yes,52,7
32,29,MI,24.992856827993243,62.307142530168804,MI32,Lombardia,Yes,28,6
31,29,MI,24.992856827993243,62.307142530168804,MI31,Lombardia,Yes,10,6
10,34,BO,23.996031624930247,61.82428577968052,BO10,Emilia-Romagna,No,92,19
9,34,BO,23.996031624930247,61.82428577968052,BO9,Emilia-Romagna,No,80,18
8,34,BO,23.996031624930247,61.82428577968052,BO8,Emilia-Romagna,No,55,14
7,34,BO,23.996031624930247,61.82428577968052,BO7,Emilia-Romagna,No,28,13
6,34,BO,23.996031624930247,61.82428577968052,BO6,Emilia-Romagna,No,12,11
5,34,BO,23.996031624930247,61.82428577968052,BO5,Emilia-Romagna,Yes,90,18
4,34,BO,23.996031624930247,61.82428577968052,BO4,Emilia-Romagna,Yes,75,16
3,34,BO,23.996031624930247,61.82428577968052,BO3,Emilia-Romagna,Yes,48,16
2,34,BO,23.996031624930247,61.82428577968052,BO2,Emilia-Romagna,Yes,32,14
1,34,BO,23.996031624930247,61.82428577968052,BO1,Emilia-Romagna,Yes,11,11
30,25,FC,27.52222273084853,50.378572191510884,FC30,Emilia-Romagna,No,89,6
29,25,FC,27.52222273084853,50.378572191510884,FC29,Emilia-Romagna,No,71,5
28,25,FC,27.52222273084853,50.378572191510884,FC28,Emilia-Romagna,No,46,5
27,25,FC,27.52222273084853,50.378572191510884,FC27,Emilia-Romagna,No,25,4
26,25,FC,27.52222273084853,50.378572191510884,FC26,Emilia-Romagna,No,7,4
25,25,FC,27.52222273084853,50.378572191510884,FC25,Emilia-Romagna,Yes,87,5
24,25,FC,27.52222273084853,50.378572191510884,FC24,Emilia-Romagna,Yes,73,5
23,25,FC,27.52222273084853,50.378572191510884,FC23,Emilia-Romagna,Yes,50,5
22,25,FC,27.52222273084853,50.378572191510884,FC22,Emilia-Romagna,Yes,26,4
21,25,FC,27.52222273084853,50.378572191510884,FC21,Emilia-Romagna,Yes,9,3
40,11,MI,8.496031382727244,59.581427982875276,MI40,Lombardia,No,95,2
39,11,MI,8.496031382727244,59.581427982875276,MI39,Lombardia,No,66,2
38,11,MI,8.496031382727244,59.581427982875276,MI38,Lombardia,No,49,2
37,11,MI,8.496031382727244,59.581427982875276,MI37,Lombardia,No,29,2
36,11,MI,8.496031382727244,59.581427982875276,MI36,Lombardia,No,8,2
35,11,MI,8.496031382727244,59.581427982875276,MI35,Lombardia,Yes,88,2
34,11,MI,8.496031382727244,59.581427982875276,MI34,Lombardia,Yes,70,2
