trapId;name;province;region;closeToWater;vegetation
1;BO1;BO;Emilia-Romagna;Yes;11
2;BO2;BO;Emilia-Romagna;Yes;32
3;BO3;BO;Emilia-Romagna;Yes;48
4;BO4;BO;Emilia-Romagna;Yes;75
5;BO5;BO;Emilia-Romagna;Yes;90
6;BO6;BO;Emilia-Romagna;No;12
7;BO7;BO;Emilia-Romagna;No;28
8;BO8;BO;Emilia-Romagna;No;55
9;BO9;BO;Emilia-Romagna;No;80
10;BO10;BO;Emilia-Romagna;No;92
11;RA11;RA;Emilia-Romagna;Yes;10
12;RA12;RA;Emilia-Romagna;Yes;27
13;RA13;RA;Emilia-Romagna;Yes;47
14;RA14;RA;Emilia-Romagna;Yes;68
15;RA15;RA;Emilia-Romagna;Yes;88
16;RA16;RA;Emilia-Romagna;No;11
17;RA17;RA;Emilia-Romagna;No;30
18;RA18;RA;Emilia-Romagna;No;50
19;RA19;RA;Emilia-Romagna;No;69
20;RA20;RA;Emilia-Romagna;No;91
21;FC21;FC;Emilia-Romagna;Yes;9
22;FC22;FC;Emilia-Romagna;Yes;26
23;FC23;FC;Emilia-Romagna;Yes;50
24;FC24;FC;Emilia-Romagna;Yes;73
25;FC25;FC;Emilia-Romagna;Yes;87
26;FC26;FC;Emilia-Romagna;No;7
27;FC27;FC;Emilia-Romagna;No;25
28;FC28;FC;Emilia-Romagna;No;46
29;FC29;FC;Emilia-Romagna;No;71
30;FC30;FC;Emilia-Romagna;No;89
31;MI31;MI;Lombardia;Yes;10
32;MI32;MI;Lombardia;Yes;28
33;MI33;MI;Lombardia;Yes;52
34;MI34;MI;Lombardia;Yes;70
35;MI35;MI;Lombardia;Yes;88
36;MI36;MI;Lombardia;No;8
37;MI37;MI;Lombardia;No;29
38;MI38;MI;Lombardia;No;49
39;MI39;MI;Lombardia;No;66
40;MI40;MI;Lombardia;No;95
