state,country,elevation,fulldate,fullmonth,year,avg(airTemperature)
XX,UK,+0015.0,2000-03-23,2000-03,2000,0.9
XX,FI,+0013.4,2000-03-11,2000-03,2000,-6.3
XX,UK,+0045.0,2000-12-24,2000-12,2000,4.4
XX,UK,+0006.7,2000-11-20,2000-11,2000,2.0
XX,UK,+0006.1,2000-02-22,2000-02,2000,6.0
XX,UK,+0004.0,2000-03-03,2000-03,2000,1.1
XX,FI,+0013.4,2000-01-02,2000-01,2000,1.0
XX,FI,+0100.3,2000-01-15,2000-01,2000,-2.0
XX,UK,+0018.0,2000-04-01,2000-04,2000,6.1
XX,FI,+0106.4,2000-04-08,2000-04,2000,1.7
XX,FI,+0264.0,2000-11-25,2000-11,2000,-0.3
XX,FI,+0006.8,2000-02-15,2000-02,2000,1.4
XX,UK,+1245.0,2000-09-19,2000-09,2000,0.5
XX,UK,+0012.8,2000-08-17,2000-08,2000,8.0
XX,FI,+0103.0,2000-09-18,2000-09,2000,3.6
XX,FI,+0005.8,2000-12-30,2000-12,2000,-7.0
XX,FI,+0013.4,2000-08-24,2000-08,2000,7.3
XX,FI,+0013.1,2000-09-17,2000-09,2000,5.3
XX,FI,+0264.0,2000-11-23,2000-11,2000,-5.8
XX,UK,+0012.8,2000-05-26,2000-05,2000,8.6
XX,FI,+0049.1,2000-10-10,2000-10,2000,6.0
XX,FI,+0121.3,2000-09-07,2000-09,2000,2.0
XX,FI,+0103.3,2000-11-12,2000-11,2000,5.4
XX,UK,+0010.0,2000-03-25,2000-03,2000,7.1
XX,UK,+0007.9,2000-03-04,2000-03,2000,0.0
XX,UK,+0012.0,2000-02-17,2000-02,2000,6.8
XX,UK,+0084.0,2000-04-09,2000-04,2000,6.7
XX,FI,+0017.4,2000-11-09,2000-11,2000,8.0
XX,UK,+0007.0,2000-04-02,2000-04,2000,0.8
XX,FI,+0139.9,2000-01-25,2000-01,2000,-23.35
XX,FI,+0026.0,2000-03-23,2000-03,2000,-6.0
XX,UK,+0003.0,2000-02-26,2000-02,2000,8.0
XX,UK,+0022.0,2000-04-15,2000-04,2000,6.2
XX,UK,+0013.0,2000-11-16,2000-11,2000,6.7
XX,UK,+0228.0,2000-03-21,2000-03,2000,6.4
XX,FI,+0121.3,2000-02-06,2000-02,2000,-3.0
XX,FI,+0011.0,2000-11-25,2000-11,2000,2.1
XX,FI,+0089.0,2000-12-27,2000-12,2000,-12.0
XX,UK,+0083.0,2000-02-04,2000-02,2000,8.8
XX,FI,+0013.4,2000-02-09,2000-02,2000,-1.0
XX,UK,+1245.0,2000-12-20,2000-12,2000,1.5
XX,FI,+0139.9,2000-01-26,2000-01,2000,-5.0
XX,FI,+0139.9,2000-01-01,2000-01,2000,-23.5
XX,FI,+0100.3,2000-11-01,2000-11,2000,5.9
XX,UK,+0015.5,2000-01-19,2000-01,2000,5.6
XX,UK,+0228.0,2000-12-02,2000-12,2000,7.9
XX,FI,+0147.2,2000-05-05,2000-05,2000,7.0
XX,UK,+0020.0,2000-12-24,2000-12,2000,4.1
XX,UK,+0015.5,2000-02-19,2000-02,2000,1.3
XX,FI,+0159.7,2000-10-02,2000-10,2000,7.0
XX,FI,+0147.2,2000-01-16,2000-01,2000,-4.3
XX,FI,+0006.8,2000-02-16,2000-02,2000,1.6
XX,FI,+0147.2,2000-11-29,2000-11,2000,-0.8
XX,UK,+0010.0,2000-01-20,2000-01,2000,7.2
XX,FI,+0014.3,2000-02-14,2000-02,2000,-1.5
XX,UK,+0083.0,2000-04-15,2000-04,2000,3.8
XX,FI,+0010.0,2000-12-02,2000-12,2000,6.0
XX,UK,+1245.0,2000-04-09,2000-04,2000,-2.5
XX,UK,+0007.0,2000-02-24,2000-02,2000,2.9
XX,FI,+0081.0,2000-04-27,2000-04,2000,3.8
XX,FI,+0098.5,2000-04-29,2000-04,2000,2.0
XX,FI,+0118.9,2000-05-15,2000-05,2000,8.0
XX,UK,+0084.0,2000-11-19,2000-11,2000,5.449999999999999
XX,UK,+0013.0,2000-03-06,2000-03,2000,4.9
XX,UK,+0080.0,2000-12-06,2000-12,2000,6.8
XX,UK,+0080.0,2000-04-21,2000-04,2000,8.0
